,,,,,,,,,,
Rk.,Pitcher,Team,Throws,Fourseam,Sinker,Cutter,Splitter,Change,Slider,Curve
252,"Kimbrel, Craig",LAD,R,93.1,,,,,,
253,"Nogosek, Stephen",NYM,R,93.1,,50.1,,92.3,40.5,
254,"Okert, Steven",MIA,L,93.1,,,,,39,
255,"Blanco, Ronel",HOU,R,93.1,,,,,31.9,
256,"Baz, Shane",TB,R,93.1,,,,98.7,21.4,67
257,"Szapucki, Thomas",SF,L,93,,,,,,74.4
258,"Grimm, Justin",OAK,R,92.9,,,,,77.4,84
259,"Cabrera, Edward",MIA,R,92.9,90.6,,,97.1,25.5,56.6
260,"Hill, Rich",BOS,L,92.9,,49,,92.6,,96.2
261,"Snell, Blake",SD,L,92.9,,,,98.7,35.9,66.6
262,"Phelps, David",TOR,R,92.8,94.5,64.1,,93.2,,
263,"Wick, Rowan",CHC,R,92.8,,81.9,,,45.4,
264,"Brieske, Beau",DET,R,92.8,91.6,,,99.5,26.6,48.7
265,"Almonte, Yency",LAD,R,92.8,91.4,,,98.5,,
266,"Burr, Ryan",CWS,R,92.7,,28,,,,
267,"Cyr, Tyler",OAK,R,92.7,,51.4,,61.1,,
268,"McCarty, Kirk",CLE,L,92.7,,47.3,,99,37.5,56.5
269,"Brault, Steven",CHC,L,92.6,91.3,,,,32.9,
270,"Diaz, Jhonathan",LAA,L,92.6,87.9,,,83.2,39.7,64.8
271,"Ureña, José",COL,R,92.6,89.8,,,97.7,33.1,
272,"Scott, Tayler",SD,R,92.5,94.9,,,,46.9,
273,"Beasley, Jeremy",TOR,R,92.5,,,91.6,,40.8,
274,"Sanders, Phoenix",TB,R,92.5,,,,,27.3,
275,"Wittgren, Nick",STL,R,92.4,92.7,51.8,,81.4,38,
276,"Buehler, Walker",LAD,R,92.4,89.9,54.4,,93.6,51.4,
277,"Milone, Tommy",SEA,L,92.4,,,,94.9,16.3,34.2
278,"Detwiler, Ross",CIN,L,92.3,93.6,25.4,,92.9,,74.3
279,"Ober, Bailey",MIN,R,92.3,,,,98.4,27.9,73.5
280,"Jax, Griffin",MIN,R,92.2,,,,90.1,,55.2
281,"Tetreault, Jackson",WSH,R,92.2,,50.2,,99.4,,56.3
282,"Suarez, José",LAA,L,92.2,88.8,,,88.4,33.6,51.9
283,"Brazoban, Huascar",MIA,R,92.2,86.7,20.3,,82.3,,
284,"Speier, Gabe",KC,L,92.1,95,,,,32.7,
285,"Weaver, Luke",KC,R,92.1,,38.8,,78.7,58.1,64.8
286,"Hernández, Elieser",MIA,R,92.1,92.1,,,93.6,46.7,
287,"Misiewicz, Anthony",KC,L,92,,37.6,,,,65.5
288,"Alexander, Tyler",DET,L,92,93.9,49.5,,97.3,33.5,
289,"Ginkel, Kevin",AZ,R,92,,,,,26.3,
290,"Wilson, Bryse",PIT,R,92,92.6,44.4,90,99,32.3,70.7
291,"Moran, Jovani",MIN,L,91.9,,,,85.3,27,
292,"Brooks, Aaron",STL,R,91.9,91.2,,,58.2,22.2,
293,"Brubaker, JT",PIT,R,91.9,88.3,,,91,12.8,56.7
294,"May, Trevor",NYM,R,91.8,,,67.2,96.2,34.5,
295,"Trivino, Lou",NYY,R,91.8,90.6,53.2,,99.1,56.6,81.3
296,"Ashby, Aaron",MIL,L,91.8,90.6,,,83.6,39,80.4
297,"Ray, Robbie",SEA,L,91.6,95.3,,,94.5,42.1,
298,"Cease, Dylan",CWS,R,91.6,91.2,,,86.2,26.6,
299,"Alzolay, Adbert",CHC,R,91.6,91.7,51.3,,86.8,38.3,
300,"Thielbar, Caleb",MIN,L,91.6,,,,62.5,,93.8
301,"Logue, Zach",OAK,L,91.6,,48.5,,89.3,,34.7
302,"Chargois, JT",TB,R,91.6,97,,,,14,
303,"Flexen, Chris",SEA,R,91.6,,51.2,,98.9,39,77.1
304,"Henriquez, Ronny",MIN,R,91.5,,,,99.4,25,
305,"Gutierrez, Vladimir",CIN,R,91.5,,,,96.1,44.6,72.2
306,"Ortiz, Luis F.",SF,R,91.5,91,,,96.2,20,71.3
307,"Kaprielian, James",OAK,R,91.4,86.7,,,58.2,26.5,60.7
308,"Bundy, Dylan",MIN,R,91.4,93.1,,,91,23.7,74.9
309,"Marte, Yunior",SF,R,91.4,90.5,,,,24.4,
310,"Brasier, Ryan",BOS,R,91.4,90.6,,,97.6,34.2,
311,"Berríos, José",TOR,R,91.4,96.5,,,96.2,,
312,"Gilbert, Tyler",AZ,L,91.4,91.4,53,98.7,,,
313,"Zerpa, Angel",KC,L,91.4,84.8,,,98.3,41.8,
314,"Romano, Jordan",TOR,R,91.3,,,,,27.3,
315,"Graveman, Kendall",CWS,R,91.2,93.4,,,89.7,29.9,51.5
316,"Muñoz, Andrés",SEA,R,91.2,,,,,32.3,
317,"Boxberger, Brad",MIL,R,91.2,,,,86,47.1,
318,"Farmer, Buck",CIN,R,91.1,,,,76.7,21.5,
319,"Clarke, Taylor",KC,R,91,,,,95.6,34,
320,"Wiles, Collin",OAK,R,91,88.4,51.9,,,50.5,78.7
321,"Warren, Austin",LAA,R,91,94.1,,,98.5,25.7,
322,"Naughton, Packy",STL,L,90.9,89.3,,,93.7,32.3,
323,"Griffin, Foster",TOR,L,90.9,,49.2,,93.3,,82.9
324,"Espino, Paolo",WSH,R,90.8,,,,90.7,,98
325,"Holton, Tyler",AZ,L,90.8,,52.6,,98,,86.8
326,"Cisnero, José",DET,R,90.8,93.2,30.5,,93.2,39.4,
327,"Jameson, Drey",AZ,R,90.7,90.3,,,92.8,21.2,55.7
328,"Bellatti, Andrew",PHI,R,90.6,,,,97.7,28.8,
329,"Feyereisen, J.P.",TB,R,90.6,,,,86.6,36.7,
330,"Knebel, Corey",PHI,R,90.5,,,,,66.2,
331,"Gibaut, Ian",CIN,R,90.5,,54.6,,95,44.8,
332,"Effross, Scott",NYY,R,90.5,94.4,,,90.3,31.7,
333,"Martin, Chris",LAD,R,90.4,86.9,47.7,87.5,,49.8,66.3
334,"Garrett, Reed",WSH,R,90.4,90.3,29.6,85.6,,,
335,"Stephan, Trevor",CLE,R,90.4,,,91.9,,34,
336,"Martin, Corbin",AZ,R,90.4,,,,75.4,44.3,37.2
337,"Davis, Austin",MIN,L,90.3,92.6,,,97.9,,
338,"Manning, Matt",DET,R,90.3,91.3,,,94.9,39.6,78
339,"Sánchez, Aníbal",WSH,R,90.3,87.3,73.6,,94.2,42,39
340,"Lorenzen, Michael",LAA,R,90.3,87.5,44,,98,20.7,72.4
341,"Tepera, Ryan",LAA,R,90.3,95.5,,,85.1,31.2,
342,"Arano, Víctor",WSH,R,90.2,93.7,,,,12.7,
343,"Peralta, Freddy",MIL,R,90.1,,,,96.2,31.5,54.6
